ALTITUDE:97.0825592246838| MASS:77.8125839233398| VERTICALSPEED :0.00330857545068852| GROUNDSPEED :8.1469333166932E-06|PRESS :6.18767175928566E-11| APOAPSIS :86.1715631545521
ALTITUDE:97.0825592258479| MASS:77.8125839233398| VERTICALSPEED :0.00331270717374821| GROUNDSPEED :3.87583114824917E-06|PRESS :6.18349183922055E-11| APOAPSIS :86.1715632299893
ALTITUDE:97.0825592268957| MASS:77.8125839233398| VERTICALSPEED :0.00330759835232186| GROUNDSPEED :3.58835082143336E-06|PRESS :6.18839706431111E-11| APOAPSIS :86.1715631316183
ALTITUDE:97.0825587360887| MASS:77.8125839233398| VERTICALSPEED :0.00331282208944117| GROUNDSPEED :5.49408319661179E-06|PRESS :6.18865916886372E-11| APOAPSIS :86.1715630972758
ALTITUDE:97.0825603061821| MASS:77.8125839233398| VERTICALSPEED :0.00331405499254345| GROUNDSPEED :7.37989711385193E-06|PRESS :6.19202395941283E-11| APOAPSIS :86.1715632982086
ALTITUDE:97.0825598165393| MASS:77.8125839233398| VERTICALSPEED :0.00331244979348355| GROUNDSPEED :5.3680452087873E-06|PRESS :6.19644293858179E-11| APOAPSIS :86.1715633153217
ALTITUDE:97.0825597634539| MASS:77.8125839233398| VERTICALSPEED :0.00330834443886374| GROUNDSPEED :2.67122261280316E-06|PRESS :6.19752856776435E-11| APOAPSIS :86.1715633308049
ALTITUDE:97.0825592741603| MASS:77.8125839233398| VERTICALSPEED :0.00330835119217454| GROUNDSPEED :1.57102101388232E-06|PRESS :6.19569377163191E-11| APOAPSIS :86.1715632729465
ALTITUDE:97.0825592741603| MASS:77.8125839233398| VERTICALSPEED :0.00330506347853543| GROUNDSPEED :1.10550633392825E-06|PRESS :6.18845732575131E-11| APOAPSIS :86.1715632642154
ALTITUDE:97.0825592733454| MASS:77.8125839233398| VERTICALSPEED :0.00330591788691947| GROUNDSPEED :2.84772085637224E-06|PRESS :6.1813582484386E-11| APOAPSIS :86.1715632170672
ALTITUDE:97.0993880528258| MASS:77.3931732177734| VERTICALSPEED :0.0672068382945952| GROUNDSPEED :0.000293835362583301|PRESS :3.26131505367646E-09| APOAPSIS :86.1891341274604
ALTITUDE:97.1158088889206| MASS:77.3716812133789| VERTICALSPEED :0.0848814741769246| GROUNDSPEED :0.000694131967853292|PRESS :1.02913221691876E-08| APOAPSIS :86.1938191493973
ALTITUDE:97.1173702497035| MASS:77.3465728759766| VERTICALSPEED :0.182988961489883| GROUNDSPEED :0.00119648531088776|PRESS :3.22960762406126E-08| APOAPSIS :86.2042667171918
ALTITUDE:97.1277983472683| MASS:77.3193206787109| VERTICALSPEED :0.328906234050606| GROUNDSPEED :0.00172027828068114|PRESS :9.69927681855677E-08| APOAPSIS :86.2251558009302
ALTITUDE:97.1555893545737| MASS:77.2908096313477| VERTICALSPEED :0.503335275312338| GROUNDSPEED :0.00225443971709218|PRESS :2.86057463466955E-07| APOAPSIS :86.2596479307394
ALTITUDE:97.19376790768| MASS:77.2615432739258| VERTICALSPEED :0.694789440914789| GROUNDSPEED :0.00283571055039655|PRESS :7.67294054165714E-07| APOAPSIS :86.3096611414803
ALTITUDE:97.2410528998589| MASS:77.2318267822266| VERTICALSPEED :0.896444397619277| GROUNDSPEED :0.00344406325868618|PRESS :1.65678185990784E-06| APOAPSIS :86.3762925675837
ALTITUDE:97.3019500961527| MASS:77.2018585205078| VERTICALSPEED :1.10428241425589| GROUNDSPEED :0.00406335905925145|PRESS :3.02841865957918E-06| APOAPSIS :86.460155976587
ALTITUDE:97.3776639706921| MASS:77.1717224121094| VERTICALSPEED :1.31592917933523| GROUNDSPEED :0.00469613079029488|PRESS :4.9214089846031E-06| APOAPSIS :86.5615954328096
